,PipelineII,PipelineDepth,TripCountMin,TripCountMax,LatencyMin,LatencyMax
ntt_kernel_Pipeline_COMPUTE_MU_LOOP:COMPUTE_MU_LOOP,1,1,,,63,63
ntt_kernel_Pipeline_FS_LOAD_TW_COL:FS_LOAD_TW_COL,1,3,4,4096,5,4097
ntt_kernel_Pipeline_FS_GATHER_COL:FS_GATHER_COL,1,24,4,4096,26,4118
sub_ntt_Pipeline_SUB_BIT_REV:SUB_BIT_REV,3,4,4,4096,13,12289
sub_ntt_Pipeline_SUB_BFLY:SUB_BFLY,2,18,1,2048,17,4111
sub_ntt:SUB_STAGE,,23 ~ 8427522,1,12,23,101130264
ntt_kernel_Pipeline_FS_SCATTER_COL:FS_SCATTER_COL,1,8,4,4096,10,4102
ntt_kernel_Pipeline_FS_LOAD_TW_ROW:FS_LOAD_TW_ROW,1,3,4,4096,5,4097
ntt_kernel_Pipeline_FS_LOAD_ROW:FS_LOAD_ROW,1,16,4,4096,18,4110
ntt_kernel_Pipeline_FS_STORE_ROW:FS_STORE_ROW,1,3,4,4096,5,4097
ntt_kernel_Pipeline_FS_TRANS_LOAD:FS_TRANS_LOAD,1,3,4,4096,5,4097
ntt_kernel_Pipeline_FS_TRANS_WRITE_SCRATCH:FS_TRANS_WRITE_SCRATCH,1,8,4,4096,10,4102
ntt_kernel_Pipeline_FS_TRANS_FROM_SCRATCH:FS_TRANS_FROM_SCRATCH,1,3,8192,1048576,8193,1048577
ntt_kernel_Pipeline_DIRECT_LOAD_PSI:DIRECT_LOAD_PSI,1,3,256,4096,257,4097
ntt_kernel_Pipeline_DIRECT_LOAD_TW:DIRECT_LOAD_TW,1,3,256,4096,257,4097
ntt_kernel_Pipeline_DIRECT_LOAD:DIRECT_LOAD,1,16,256,4096,270,4110
ntt_kernel_Pipeline_DIRECT_STORE:DIRECT_STORE,1,3,256,4096,257,4097
ntt_kernel:DIRECT_BATCH,,592 ~ 101150789,1,16,592,1618412624
ntt_kernel:FS_P1_BATCH,,346 ~ 414313623554,1,16,346,6629017976864
ntt_kernel:FS_P23_BATCH,,8693 ~ 414348333077,1,16,8693,6629573329232
