,BRAM_18K,DSP,FF,LUT,URAM
ntt_kernel_Pipeline_COMPUTE_MU_LOOP,0,0,201,746,0
ntt_kernel_Pipeline_FS_LOAD_TW_COL,0,0,77,108,0
barrett_mod_mul,0,27,801,892,0
ntt_kernel_Pipeline_FS_GATHER_COL,0,0,367,408,0
sub_ntt_Pipeline_SUB_BIT_REV,0,0,114,1306,0
sub_ntt_Pipeline_SUB_BFLY,0,27,1081,1494,0
sub_ntt,0,27,1549,3213,0
ntt_kernel_Pipeline_FS_SCATTER_COL,0,0,160,253,0
ntt_kernel_Pipeline_FS_LOAD_TW_ROW,0,0,77,108,0
ntt_kernel_Pipeline_FS_LOAD_ROW,0,0,188,153,0
ntt_kernel_Pipeline_FS_STORE_ROW,0,0,50,108,0
ntt_kernel_Pipeline_FS_TRANS_LOAD,0,0,77,108,0
ntt_kernel_Pipeline_FS_TRANS_WRITE_SCRATCH,0,0,160,253,0
ntt_kernel_Pipeline_FS_TRANS_FROM_SCRATCH,0,0,69,140,0
ntt_kernel_Pipeline_DIRECT_LOAD_PSI,0,0,77,89,0
ntt_kernel_Pipeline_DIRECT_LOAD_TW,0,0,77,89,0
ntt_kernel_Pipeline_DIRECT_LOAD,0,0,167,121,0
ntt_kernel_Pipeline_DIRECT_STORE,0,0,50,89,0
ntt_kernel,36,54,9090,17183,0
Total,36,54,9090,17173,0
Available,288,1248,234240,117120,64
